"","sent_raw","jockers_rinker","jockers","huliu","lmcd","nrc","senticnet","sentiword"
"1","0,MARLEY'S GHOST",-0.424264068711928,-0.424264068711928,0,0,0,-0.424264068711928,-0.0883883476483184
"2","1,MARLEY was dead: to begin with.",-0.408248290463863,-0.408248290463863,-0.408248290463863,0,0,-0.148602377728846,-0.102062072615966
"3","2,There is no doubt whatever about that.",0.28347335475692,0.28347335475692,0.377964473009227,0.377964473009227,0.377964473009227,-0.160256936555912,-0.28347335475692
"4","3,""The register of his burial was signed by the clergyman, the clerk, the undertaker, and the chief mourner.""",-0.353553390593274,-0.353553390593274,-0.235702260395516,0,-0.235702260395516,0.348839345385363,-0.0294627825494395
"5","4,""Scrooge signed it: and Scrooge's name was good upon 'Change, for anything he chose to put his hand to.""",0.172061800402921,0.172061800402921,0.229415733870562,0.229415733870562,0.229415733870562,0.460437377878217,0.145774580896919
"6","5,Old Marley was as dead as a door-nail.",-0.333333333333333,-0.333333333333333,-0.333333333333333,0,0,-0.130666666666667,-0.25
"7","6,Mind!",0,0,0,0,0,0,0
"8","7,""I don't mean to say that I know, of my own knowledge, what there is particularly dead about a door-nail.""",-0.261861468283191,-0.261861468283191,-0.392792202424786,0,0.218217890235992,-0.289051417406596,-0.193668377584443
"9","8,""I might have been inclined, myself, to regard a coffin-nail as the deadest piece of ironmongery in the trade.""",0.178885438199983,-0.0447213595499958,0.223606797749979,0,-0.223606797749979,0.286887521513223,-0.0349385621484342
"10","9,""But the wisdom of our ancestors is in the simile; and my unhallowed hands shall not disturb it, or the Country's done for.""",0.573414638656956,0.573414638656956,0.677671845685493,0.208514414057075,0.469157431628418,0.549070580815792,-0.0521286035142687
"11","10,""You will therefore permit me to repeat, emphatically, that Marley was as dead as a door-nail.""",-0.303169531295416,-0.303169531295416,-0.485071250072666,0,0,-0.172685365025869,-0.18190171877725
"12","11,Scrooge knew he was dead?",-0.447213595499958,-0.447213595499958,-0.447213595499958,0,0,-0.223606797749979,-0.111803398874989
"13","12,Of course he did.",0,0,0,0,0,-0.415,0
"14","13,How could it be otherwise?",0,0,0,0,0,0,0.139754248593737
"15","14,Scrooge and he were partners for I don't know how many years.",0,0,0,0,0,-0.369215497146766,-0.0541265877365274
"16","15,""Scrooge was his sole executor, his sole administrator, his sole assign, his sole residuary legatee, his sole friend, and sole mourner.""",-0.0436435780471985,-0.0436435780471985,-0.218217890235992,0,0.218217890235992,0.935718313331935,0.163663417676994
"17","16,""And even Scrooge was not so dreadfully cut up by the sad event, but that he was an excellent man of business on the very day of the funeral, and solemnised it with an undoubted bargain.""",0.435,0.435,1.00833333333333,0.675,0.841666666666667,0.52745,0.868402777777778
"18","17,The mention of Marley's funeral brings me back to the point I started from.",-0.21380899352994,-0.21380899352994,0,0,0,0.121603865070153,0.183742103814792
